YYYYMMDD,FG
2000-01,4.219354838709678
2000-02,4.748275862068966
2000-03,3.9806451612903224
2000-04,3.5533333333333332
2000-05,3.4967741935483874
2000-06,3.2133333333333334
2000-07,2.925806451612903
2000-08,2.4806451612903224
2000-09,2.9766666666666666
2000-10,4.296774193548387
2000-11,4.92
2000-12,4.712903225806452
2001-01,3.6935483870967745
2001-02,3.6392857142857147
2001-03,3.829032258064516
2001-04,3.9266666666666667
2001-05,3.8354838709677415
2001-06,3.0233333333333334
2001-07,3.1580645161290324
2001-08,3.0129032258064514
2001-09,3.1933333333333334
2001-10,3.938709677419355
2001-11,2.8233333333333333
2001-12,3.2483870967741937
2002-01,4.5612903225806445
2002-02,5.960714285714285
2002-03,3.829032258064516
2002-04,3.8466666666666667
2002-05,3.541935483870968
2002-06,3.2700000000000005
2002-07,3.106451612903226
2002-08,2.096774193548387
2002-09,2.38
2002-10,3.574193548387097
2002-11,2.966666666666667
2002-12,3.5903225806451617
2003-01,3.945161290322581
2003-02,3.1678571428571427
2003-03,3.109677419354839
2003-04,3.6233333333333335
2003-05,2.9193548387096775
2003-06,2.7399999999999998
2003-07,2.8419354838709676
2003-08,2.3967741935483873
2003-09,1.98
2003-10,3.032258064516129
2003-11,3.4766666666666666
2003-12,3.570967741935484
2004-01,3.9483870967741934
2004-02,3.951724137931034
2004-03,3.6516129032258062
2004-04,3.09
2004-05,2.6225806451612903
2004-06,3.1
2004-07,2.7419354838709675
2004-08,3.0516129032258066
2004-09,3.29
2004-10,3.541935483870968
2004-11,2.7066666666666666
2004-12,3.0
2005-01,4.367741935483871
2005-02,3.3607142857142853
2005-03,3.5806451612903225
2005-04,3.0033333333333334
2005-05,3.0774193548387094
2005-06,2.8033333333333337
2005-07,2.6483870967741936
2005-08,2.4967741935483874
2005-09,2.2933333333333334
2005-10,3.2387096774193553
2005-11,3.1
2005-12,3.164516129032258
2006-01,3.3096774193548386
2006-02,3.6142857142857148
2006-03,3.8677419354838714
2006-04,3.4200000000000004
2006-05,3.7096774193548385
2006-06,2.7033333333333336
2006-07,2.5806451612903225
2006-08,2.761290322580645
2006-09,2.7233333333333336
2006-10,3.438709677419355
2006-11,3.7166666666666663
2006-12,4.238709677419355
2007-01,4.9387096774193555
2007-02,3.575
2007-03,3.987096774193548
2007-04,2.8833333333333333
2007-05,3.3354838709677415
2007-06,2.8766666666666665
2007-07,3.2548387096774194
2007-08,2.8096774193548386
2007-09,2.85
2007-10,2.4419354838709677
2007-11,3.2299999999999995
2007-12,3.9903225806451617
2008-01,5.429032258064516
2008-02,3.8689655172413793
2008-03,4.609677419354838
2008-04,3.5833333333333335
2008-05,3.3483870967741938
2008-06,3.0433333333333334
2008-07,3.174193548387097
2008-08,3.516129032258065
2008-09,3.0733333333333333
2008-10,3.303225806451613
2008-11,3.743333333333333
2008-12,3.225806451612903
2009-01,3.7064516129032254
2009-02,3.2
2009-03,3.587096774193548
2009-04,3.033333333333333
2009-05,3.6774193548387095
2009-06,3.013333333333333
2009-07,3.2903225806451615
2009-08,2.8096774193548386
2009-09,3.12
2009-10,3.1806451612903226
2009-11,4.826666666666666
2009-12,3.735483870967742
2010-01,3.2451612903225806
2010-02,3.775
2010-03,3.7096774193548385
2010-04,3.37
2010-05,3.129032258064516
2010-06,2.7933333333333334
2010-07,2.709677419354839
2010-08,3.1
2010-09,2.9266666666666667
2010-10,3.425806451612903
2010-11,3.496666666666667
2010-12,3.1838709677419357
2011-01,3.5354838709677416
2011-02,4.5
2011-03,3.138709677419355
2011-04,3.1533333333333333
2011-05,3.574193548387097
2011-06,3.41
2011-07,3.225806451612903
2011-08,2.929032258064516
2011-09,3.236666666666667
2011-10,3.393548387096774
2011-11,3.1399999999999997
2011-12,4.7935483870967746
2012-01,4.209677419354838
2012-02,3.5827586206896553
2012-03,2.925806451612903
2012-04,3.7299999999999995
2012-05,3.2161290322580647
2012-06,3.53
2012-07,3.093548387096774
2012-08,2.8741935483870966
2012-09,3.0433333333333334
2012-10,3.212903225806452
2012-11,3.5666666666666664
2012-12,4.219354838709678
2013-01,3.903225806451613
2013-02,3.5785714285714283
2013-03,4.345161290322581
2013-04,3.8833333333333337
2013-05,3.4096774193548383
2013-06,3.6366666666666667
2013-07,2.738709677419355
2013-08,2.661290322580645
2013-09,2.8866666666666667
2013-10,3.8
2013-11,3.08
2013-12,4.406451612903226
2014-01,4.374193548387097
2014-02,5.107142857142857
2014-03,3.416129032258065
2014-04,3.0
2014-05,3.1516129032258062
2014-06,2.67
2014-07,2.806451612903226
2014-08,3.145161290322581
2014-09,2.243333333333333
2014-10,3.2548387096774194
2014-11,3.34
2014-12,4.290322580645162
2015-01,4.361290322580645
2015-02,3.5107142857142852
2015-03,3.893548387096774
2015-04,3.19
2015-05,3.538709677419355
2015-06,3.2700000000000005
2015-07,3.4741935483870967
2015-08,2.9096774193548387
2015-09,3.083333333333333
2015-10,2.4161290322580644
2015-11,4.513333333333334
2015-12,4.829032258064516
2016-01,4.241935483870968
2016-02,4.224137931034482
2016-03,3.658064516129032
2016-04,3.4466666666666668
2016-05,3.458064516129032
2016-06,2.7733333333333334
2016-07,2.903225806451613
2016-08,3.0161290322580645
2016-09,2.5466666666666664
2016-10,2.6903225806451614
2016-11,3.256666666666667
2016-12,3.1
2017-01,2.912903225806452
2017-02,4.178571428571429
2017-03,3.735483870967742
2017-04,3.0166666666666666
2017-05,3.0774193548387094
2017-06,3.3
2017-07,2.8967741935483873
2017-08,2.490322580645161
2017-09,2.7800000000000002
2017-10,3.7193548387096778
2017-11,3.0733333333333333
2017-12,3.838709677419355
2018-01,4.367741935483871
2018-02,3.8464285714285715
2018-03,4.270967741935484
2018-04,3.296666666666667
2018-05,2.9161290322580644
2018-06,3.1433333333333335
2018-07,2.864516129032258
2018-08,2.729032258064516
2018-09,2.7933333333333334
2018-10,2.9096774193548387
2018-11,3.5633333333333335
2018-12,3.735483870967742
2019-01,3.512903225806452
2019-02,3.407142857142857
2019-03,4.383870967741935
2019-04,3.63
2019-05,3.0387096774193547
2019-06,3.1733333333333333
2019-07,2.6161290322580646
2019-08,2.929032258064516
2019-09,2.9966666666666666
2019-10,3.3838709677419354
2019-11,3.086666666666667
2019-12,3.838709677419355
2020-01,4.035483870967742
2020-02,5.589655172413793
2020-03,4.564516129032258
2020-04,3.3833333333333337
2020-05,3.203225806451613
2020-06,3.1966666666666663
2020-07,3.0032258064516126
2020-08,3.006451612903226
2020-09,2.7066666666666666
2020-10,3.7322580645161287
2020-11,3.3833333333333337
2020-12,3.583870967741935
2021-01,3.558064516129032
2021-02,3.7214285714285715
2021-03,3.570967741935484
2021-04,3.413333333333333
2021-05,3.4
2021-06,2.6
2021-07,2.8096774193548386
2021-08,2.958064516129032
2021-09,2.5100000000000002
2021-10,3.3354838709677415
2021-11,2.7233333333333336
2021-12,3.5096774193548383
2022-01,3.4225806451612906
2022-02,5.407142857142857
2022-03,3.3354838709677415
2022-04,3.9333333333333336
2022-05,2.9096774193548387
2022-06,2.9
2022-07,2.645161290322581
2022-08,2.425806451612903
2022-09,2.31
2022-10,4.6
