,ID,Perioden,NettoVerbruikBerekend_30
532,800,2020MM05,8632
533,801,2020MM06,8645
534,803,2020MM07,8961
535,804,2020MM08,9342
536,805,2020MM09,9072
537,807,2020MM10,9787
538,808,2020MM11,9718
539,809,2020MM12,10322
540,812,2021MM01,10696
541,813,2021MM02,9577
542,814,2021MM03,9940
543,816,2021MM04,8779
544,817,2021MM05,8969
545,818,2021MM06,9021
546,820,2021MM07,9258
547,821,2021MM08,8981
548,822,2021MM09,9030
549,824,2021MM10,9410
550,825,2021MM11,9678
551,826,2021MM12,10047
552,829,2022MM01,10163
553,830,2022MM02,9092
554,831,2022MM03,9072
555,832,2022MM04,8684
556,833,2022MM05,8918
557,834,2022MM06,8763
