,DateTime,TG,TN,TX
0,2000-01,4.329032258064516,1.729032258064516,6.5612903225806445
1,2000-02,5.855172413793103,2.537931034482759,8.941379310344827
2,2000-03,6.796774193548387,3.3612903225806448,10.112903225806452
3,2000-04,9.986666666666666,5.1866666666666665,14.753333333333334
4,2000-05,14.732258064516127,9.274193548387096,20.02258064516129
5,2000-06,16.003333333333334,10.059999999999999,21.07333333333333
6,2000-07,15.519354838709678,11.641935483870968,19.548387096774192
7,2000-08,17.416129032258063,11.593548387096774,22.809677419354838
8,2000-09,15.816666666666666,12.11,19.946666666666665
9,2000-10,11.319354838709677,7.7,14.954838709677421
10,2000-11,7.790000000000001,5.393333333333333,10.120000000000001
11,2000-12,5.0677419354838715,2.732258064516129,7.083870967741936
12,2001-01,2.606451612903226,0.025806451612903226,5.332258064516129
13,2001-02,4.467857142857143,1.1535714285714287,7.792857142857143
14,2001-03,4.945161290322581,1.835483870967742,8.03225806451613
15,2001-04,8.283333333333333,4.09,12.58
16,2001-05,14.141935483870967,8.52258064516129,19.358064516129033
17,2001-06,15.156666666666666,9.709999999999999,20.053333333333335
18,2001-07,18.532258064516128,13.280645161290323,23.612903225806452
19,2001-08,18.483870967741936,12.948387096774193,23.63548387096774
20,2001-09,13.433333333333334,10.086666666666666,17.363333333333333
21,2001-10,14.219354838709677,10.841935483870968,17.958064516129035
22,2001-11,7.12,3.4633333333333334,10.236666666666666
23,2001-12,2.8580645161290326,-0.7645161290322581,5.829032258064516
24,2002-01,4.419354838709678,1.8451612903225807,6.7064516129032254
25,2002-02,7.114285714285714,3.95,10.164285714285715
26,2002-03,7.2225806451612895,2.4322580645161294,11.787096774193548
27,2002-04,9.33,3.85,14.303333333333333
28,2002-05,13.370967741935484,8.351612903225806,18.24838709677419
29,2002-06,16.503333333333334,10.786666666666665,21.47
30,2002-07,17.55161290322581,12.706451612903226,22.24838709677419
31,2002-08,18.596774193548388,13.732258064516127,23.33225806451613
32,2002-09,14.553333333333333,9.41,19.880000000000003
33,2002-10,9.461290322580645,5.270967741935484,13.503225806451614
34,2002-11,7.866666666666667,4.34,11.023333333333333
35,2002-12,2.890322580645161,0.4387096774193548,5.2064516129032254
36,2003-01,2.493548387096774,-0.6548387096774194,5.161290322580645
37,2003-02,1.8142857142857143,-2.460714285714286,6.335714285714285
38,2003-03,7.316129032258064,1.9483870967741936,12.761290322580646
39,2003-04,9.93,3.38,15.530000000000001
40,2003-05,13.180645161290323,7.5612903225806445,18.22258064516129
41,2003-06,17.84,10.816666666666666,23.669999999999998
42,2003-07,18.835483870967742,12.35483870967742,24.548387096774192
43,2003-08,19.254838709677422,12.616129032258064,25.406451612903226
44,2003-09,13.919999999999998,7.413333333333334,20.633333333333333
45,2003-10,7.4645161290322575,2.8451612903225807,12.370967741935484
46,2003-11,7.996666666666667,4.773333333333333,10.946666666666667
47,2003-12,4.0,0.8741935483870968,6.870967741935483
48,2004-01,3.587096774193548,0.8290322580645162,6.025806451612903
49,2004-02,4.820689655172414,1.806896551724138,7.924137931034482
50,2004-03,5.922580645161291,1.2193548387096773,10.261290322580646
51,2004-04,10.353333333333333,4.54,15.733333333333334
52,2004-05,12.293548387096774,6.46774193548387,17.580645161290324
53,2004-06,15.523333333333332,9.790000000000001,20.363333333333333
54,2004-07,16.703225806451613,11.412903225806451,21.619354838709675
55,2004-08,18.841935483870966,14.132258064516128,23.825806451612902
56,2004-09,15.176666666666668,10.343333333333334,20.013333333333332
57,2004-10,11.309677419354838,7.725806451612904,15.025806451612903
58,2004-11,6.29,3.0466666666666664,9.283333333333333
59,2004-12,3.2387096774193553,0.23870967741935484,5.964516129032258
60,2005-01,5.254838709677419,2.735483870967742,7.709677419354838
61,2005-02,2.3892857142857142,-0.425,5.271428571428571
62,2005-03,6.541935483870968,2.7548387096774194,10.041935483870969
63,2005-04,10.386666666666667,5.296666666666667,15.396666666666667
64,2005-05,12.574193548387097,7.112903225806451,17.54516129032258
65,2005-06,16.759999999999998,10.663333333333334,22.263333333333332
66,2005-07,17.65483870967742,13.264516129032259,22.083870967741937
67,2005-08,16.193548387096776,11.025806451612905,21.119354838709675
68,2005-09,15.716666666666665,10.743333333333334,20.9
69,2005-10,13.341935483870966,9.548387096774194,17.68064516129032
70,2005-11,6.85,3.513333333333333,10.166666666666668
71,2005-12,3.97741935483871,1.4225806451612903,6.241935483870968
72,2006-01,1.464516129032258,-1.5419354838709678,4.316129032258065
73,2006-02,2.8892857142857142,0.6392857142857143,5.421428571428572
74,2006-03,3.932258064516129,0.35806451612903223,7.758064516129032
75,2006-04,8.983333333333333,4.613333333333333,13.243333333333334
76,2006-05,14.496774193548386,9.493548387096775,19.18064516129032
77,2006-06,16.67666666666667,10.666666666666668,21.833333333333336
78,2006-07,22.309677419354838,15.170967741935485,28.68064516129032
79,2006-08,16.35483870967742,12.206451612903226,20.65483870967742
80,2006-09,17.916666666666664,13.076666666666668,23.076666666666668
81,2006-10,13.57741935483871,9.493548387096775,17.338709677419352
82,2006-11,9.156666666666666,5.61,12.190000000000001
83,2006-12,6.506451612903225,4.058064516129032,8.958064516129031
84,2007-01,7.093548387096774,4.525806451612903,9.564516129032258
85,2007-02,6.035714285714286,3.2321428571428568,8.960714285714285
86,2007-03,7.9645161290322575,3.832258064516129,12.225806451612904
87,2007-04,13.056666666666667,6.29,19.743333333333332
88,2007-05,14.122580645161289,8.948387096774194,18.741935483870968
89,2007-06,17.476666666666667,13.046666666666667,21.84
90,2007-07,17.009677419354837,12.438709677419356,21.35483870967742
