Datum,zonuren_dag
2018-02,5.685714285714285
2018-03,4.267741935483872
2018-04,5.840000000000001
2018-05,9.12258064516129
2018-06,6.83
2018-07,10.98709677419355
2018-08,6.638709677419355
2018-09,6.3933333333333335
2018-10,5.793548387096774
2018-11,2.85
2018-12,1.2903225806451613
2019-01,1.832258064516129
2019-02,4.885714285714286
2019-03,3.661290322580645
2019-04,8.233333333333333
2019-05,7.274193548387097
2019-06,8.606666666666666
2019-07,7.751612903225807
2019-08,7.580645161290323
2019-09,5.246666666666667
2019-10,3.2193548387096773
2019-11,2.5533333333333332
2019-12,2.6129032258064515
2020-01,1.2935483870967743
2020-02,2.3379310344827586
2020-03,5.983870967741935
2020-04,9.383333333333333
2020-05,10.46774193548387
2020-06,7.616666666666666
2020-07,6.729032258064516
2020-08,7.235483870967743
2020-09,6.723333333333333
2020-10,2.293548387096774
2020-11,2.7199999999999998
2020-12,1.367741935483871
2021-01,1.6838709677419357
2021-02,4.539285714285714
2021-03,4.54516129032258
2021-04,6.826666666666667
2021-05,6.096774193548387
2021-06,8.1
2021-07,6.264516129032257
2021-08,5.325806451612903
2021-09,5.9399999999999995
2021-10,3.9451612903225803
2021-11,1.9466666666666665
2021-12,1.6225806451612903
